Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-09-08,25.23893165588379,25.295113056036335,24.79172819073519,25.11308586818857,219374400
2015-09-09,24.75352668762207,25.623213715195657,24.668129857137995,25.56478629009856,340043200
2015-09-10,25.29735565185547,25.45691059012578,24.697338831630514,24.780486189668327,251571200
2015-09-11,25.665904998779297,25.665904998779297,25.115328084105002,25.122069576318335,199662000
2015-09-14,25.91309928894043,26.268166023756923,25.811973490255067,26.198501660863435,233453600
2015-09-15,26.131093978881836,26.187275382075,25.713104201963056,26.052440357315476,173364800
2015-09-16,26.160297393798828,26.189511092817874,25.942313375177914,26.124340489295776,148694000
2015-09-17,25.60074234008789,26.178287117640696,25.555797901683327,25.991766155193375,256450400
2015-09-18,25.495119094848633,25.68613722991624,25.140053943468565,25.216459825879372,297141200
2015-09-21,25.89063262939453,25.92658954344671,25.542309025744235,25.544555046982474,200888000
2015-09-22,25.483877182006836,25.65916283303199,25.286117604833972,25.479381710969356,201384800
2015-09-23,25.69062614440918,25.780516711991236,25.46140682586891,25.53556495819313,143026800
2015-09-24,25.84343910217285,25.95580188087795,25.252411503411206,25.450169376705002,200878000
2015-09-25,25.778268814086914,26.223226177832004,25.62320762884666,26.167044787761764,224607600
2015-09-28,25.268142700195312,25.74680752927548,25.268142700195312,25.585004850566698,208436000
2015-09-29,24.50857162475586,25.508601501548267,24.238901609957985,25.355788035957435,293461600
2015-09-30,24.787233352661133,25.06589260520561,24.43441424366298,24.758017928562307,265892000
2015-10-01,24.62542724609375,24.634416474225127,24.115299265387996,24.510816730568678,255716400
2015-10-02,24.80521011352539,24.94678833312647,24.169237994128867,24.272611560230494,232079200
2015-10-05,24.895099639892578,25.02768862450485,24.510819101337205,24.69284627367393,208258800
2015-10-06,25.014202117919922,25.11083417955277,24.668124541712046,24.861388664977746,192787200
2015-10-07,24.895099639892578,25.11757748547303,24.587226690584302,25.11083599235243,187062400
2015-10-08,24.607446670532227,24.762507842033973,24.31755051771235,24.762507842033973,247918400
2015-10-09,25.19623374938965,25.232188952212557,24.60520435083391,24.71981488171479,211064400
2015-10-12,25.079370498657227,25.337805218512766,25.043415302979504,25.333311461997994,121868800
2015-10-13,25.1220703125,25.270388289099376,24.87262480617747,24.904086247108243,132197200
2015-10-14,24.767005920410156,25.061395881021138,24.620933950775356,25.00970995784766,177849600
2015-10-15,25.137805938720703,25.19173960305315,24.829931247220777,24.928811060597162,150694000
2015-10-16,24.953527450561523,25.169263791604298,24.838916930016286,25.119823891976157,156930400
2015-10-19,25.10858917236328,25.11308292946071,24.744533124749246,24.899594319671532,119036800
2015-10-20,25.5670223236084,25.65691287685952,24.904082708105815,25.020939227168483,195871200
2015-10-21,25.564781188964844,25.973781655635417,25.55129648896206,25.6187148454159,167180800
2015-10-22,25.9558048248291,25.9558048248291,25.64118866586654,25.69287630432216,166616400
2015-10-23,26.760318756103516,26.79402793131932,26.142323497053283,26.225470852796416,237467600
2015-10-26,25.906362533569336,26.546830042872955,25.825461194023617,26.535594793476033,265335200
2015-10-27,25.742313385009766,26.189516765890595,25.61646590650807,25.933329766630628,279537600
2015-10-28,26.803020477294922,26.80976368522015,26.081651536112677,26.277163417459718,342205600
2015-10-29,27.08617401123047,27.122130927170247,26.578293717961888,26.674925786399893,204909200
2015-10-30,26.85470962524414,27.24123793768806,26.8434726592581,27.189550294480668,197461200
2015-11-02,27.232248306274414,27.272698982899332,26.879429182470517,27.146853195408596,128813200
2015-11-03,27.544620513916016,27.751367682882243,27.124382966858587,27.14460916519251,182076000
2015-11-04,27.416521072387695,27.825521564067103,27.33112596824193,27.670460363453877,179544400
2015-11-05,27.290130615234375,27.689598432935576,27.12312235636019,27.50002004779122,158210800
2015-11-06,27.321720123291016,27.490985698259742,27.22241882350645,27.333005183698983,132169200
2015-11-09,27.211143493652344,27.49099552888714,27.093786743992297,27.299161486362152,135485600
2015-11-10,26.353525161743164,26.64691956201505,26.193287264377638,26.382865634885604,236511600
2015-11-11,26.204578399658203,26.500228503413954,26.001459284846973,26.26325763768348,180872000
2015-11-12,26.116559982299805,26.36481590890519,26.100761924839254,26.2384314492208,130102400
2015-11-13,25.353734970092773,26.082706411554206,25.33793691269189,25.999201409944344,183249600
2015-11-16,25.768993377685547,25.78253407383152,25.051307210352455,25.13706782237465,152426800
2015-11-17,25.658418655395508,25.965353867662554,25.574913640252767,25.936013383549465,110467600
2015-11-18,26.470890045166016,26.51602686147571,26.066909168315345,26.12558840700528,186698800
2015-11-19,26.80716323852539,27.026080407511675,26.351275207640914,26.54987960454499,173183200
2015-11-20,26.924514770507812,27.064439894257518,26.822954380001207,26.90194464693389,137148400
2015-11-23,26.574710845947266,27.02157298339538,26.48217811757074,26.917755187996526,129930000
2015-11-24,26.82973289489746,26.935806309290797,26.43252408260051,26.479918257186196,171212800
2015-11-25,26.637895584106445,26.90872161960704,26.613069821139085,26.904206905326248,85553200
2015-11-27,26.58824348449707,26.72365736025514,26.54084931672533,26.696574240731735,52185600
2015-11-30,26.698829650878906,26.949342892160754,26.574700847772107,26.628865361010153,156721200
2015-12-01,26.482175827026367,26.813936795217508,26.373846769163542,26.800396093449486,139409600
2015-12-02,26.242948532104492,26.65595716961899,26.19781170999926,26.482176788609127,133546400
2015-12-03,25.99920082092285,26.358044862126114,25.778028022321287,26.303880341101518,166278000
2015-12-04,26.86358642578125,26.913237957888665,25.978891721250324,26.019515545532826,231108000
2015-12-07,26.694316864013672,27.05090352244436,26.588243464948686,26.852299144995612,128336800
2015-12-08,26.683029174804688,26.766532433082066,26.373836734487742,26.52278956284062,137238000
2015-12-09,26.093990325927734,26.561163399170145,25.972118864839405,26.54987833501308,185445600
2015-12-10,26.21811866760254,26.391899021464493,26.06916580043713,26.18877991000337,116850800
2015-12-11,25.543317794799805,26.042087089628303,25.468840487671628,25.996950266928483,187544800
2015-12-14,25.385339736938477,25.430476564160717,24.778239596199708,25.317632774245528,257274800
2015-12-15,24.936216354370117,25.457555753963696,24.904620235832244,25.263464327597138,213292400
2015-12-16,25.12803840637207,25.274735584777915,24.554793831689505,25.067103556006394,224954000
2015-12-17,24.59542465209961,25.333422023816897,24.59542465209961,25.281513140894017,179091200
2015-12-18,23.929643630981445,24.717292467295476,23.87999210904976,24.579624686292426,385813200
2015-12-21,24.223045349121094,24.23207305781666,23.825834775813107,24.211760282786795,190362400
2015-12-22,24.20047378540039,24.311060189259624,24.024436071560665,24.238840250963513,131157600
2015-12-23,24.511919021606445,24.566083538400644,24.193698826490273,24.20949688229937,130629600
2015-12-24,24.38102149963379,24.599938660458253,24.362966085535902,24.599938660458253,54281600
2015-12-28,24.107940673828125,24.304289434927057,23.963500799637803,24.281719305574285,106816800
2015-12-29,24.541255950927734,24.696980862220546,24.116964110854564,24.139532514352073,123724800
2015-12-30,24.220781326293945,24.532229442217997,24.18918521548392,24.50514804544306,100855200
2015-12-31,23.75586700439453,24.155333126354996,23.656563952261514,24.150820133921222,163649200
2016-01-04,23.77617645263672,23.78069116662558,23.020123714236984,23.15779321929633,270597600
2016-01-05,23.180362701416016,23.889021307034476,23.1126574851651,23.866452901617503,223164000
2016-01-06,22.726741790771484,23.10364141061426,22.539422381827876,22.695145662908235,273829600
2016-01-07,21.76756477355957,22.59809507469187,21.76305177991546,22.270848796920983,324377600
2016-01-08,21.882659912109375,22.367888384113957,21.83752310060806,22.241503934423086,283192000
2016-01-11,22.236995697021484,22.3566098320125,21.96842694134465,22.3362987774787,198957600
2016-01-12,22.55972671508789,22.724479379997394,22.306956045675555,22.69288326155327,196616800
2016-01-13,21.979703903198242,22.8373170301346,21.959392856154345,22.640968299416002,249758400
2016-01-14,22.460418701171875,22.67708021118706,21.607320247225722,22.108346760650335,252680400
2016-01-15,21.921022415161133,22.0519215554773,21.52155636775472,21.711133008053714,319335600
2016-01-19,21.81495475769043,22.26407240430035,21.553156429023584,22.209907885970967,212350800
2016-01-20,21.844289779663086,22.160252572658198,21.08372240846484,21.462877415687235,289337600
2016-01-21,21.73370933532715,22.090294316035074,21.426774163732585,21.905230614502393,208646000
2016-01-22,22.889230728149414,22.8982584367017,22.200884739166256,22.259562261967094,263202000
2016-01-25,22.442365646362305,22.914051696874395,22.39045676352377,22.91179433974429,207178000
2016-01-26,22.566497802734375,22.767359585912928,22.1331781169015,22.55295710063315,300308000
2016-01-27,21.083724975585938,21.80818161437232,21.065669563077257,21.675026821303355,533478800
2016-01-28,21.234941482543945,21.33198720125237,20.85127332310659,21.167236248333516,222715200
2016-01-29,21.968421936035156,21.968421936035156,21.29361674669528,21.39291980452718,257666000
2016-02-01,21.763042449951172,21.826234665034523,21.53058463509796,21.77207015522861,163774000
2016-02-02,21.322956085205078,21.67502803961913,21.27781755139622,21.535101167600182,149428800
2016-02-03,21.744993209838867,21.855579617615156,21.2326832734449,21.440315388168315,183857200
2016-02-04,21.919706344604492,22.0853529229411,21.59976121549099,21.7517918919577,185886800
2016-02-05,21.334278106689453,21.992323642447158,21.259398418078742,21.9015584424802,185672400
2016-02-08,21.55891990661621,21.715488084215153,21.111902776017924,21.132324034799613,216085600
2016-02-09,21.554378509521484,21.7699460293937,21.3138522529585,21.395540742206652,177324800
2016-02-10,21.391010284423828,21.862988030728157,21.35243562960538,21.765415724821036,169374400
2016-02-11,21.26166534423828,21.49311668038653,21.009792747889836,21.282088335640594,200298800
2016-02-12,21.32747459411621,21.44320028674965,21.10510163468998,21.372858067307014,161405600
2016-02-16,21.928789138793945,21.976440480596768,21.468157770164417,21.56119084762643,196231600
